filmID,roomID,screeningDay,purchasedSeats,availableSeats
F00001,R00001,06/11/2024 12:00:00,-55,36
F00001,R00001,06/11/2024 14:00:00,-59,36
F00001,R00001,06/11/2024 16:00:00,-55,36
F00001,R00001,06/12/2024 12:00:00,-27,36
F00001,R00001,06/12/2024 14:00:00,-55,36
F00002,R00002,06/11/2024 12:00:00,5,25
F00002,R00002,06/11/2024 14:00:00,12,25
F00002,R00002,06/11/2024 16:00:00,14,25
F00002,R00002,06/12/2024 12:00:00,22,25
F00002,R00002,06/12/2024 14:00:00,13,25
F00003,R00003,06/11/2024 12:00:00,19,36
F00003,R00003,06/11/2024 14:00:00,0,36
F00003,R00003,06/11/2024 16:00:00,2,36
F00003,R00003,06/12/2024 12:00:00,3,36
F00003,R00003,06/12/2024 14:00:00,7,36
F00004,R00001,06/13/2024 12:00:00,18,25
F00004,R00001,06/13/2024 14:00:00,2,25
F00004,R00002,06/14/2024 12:00:00,19,25
F00004,R00002,06/14/2024 14:00:00,23,25
F00004,R00003,06/15/2024 14:00:00,28,25
F00005,R00003,06/13/2024 12:00:00,3,36
F00005,R00001,06/13/2024 14:00:00,4,36
F00005,R00001,06/14/2024 12:00:00,2,36
F00005,R00002,06/14/2024 14:00:00,13,36
F00005,R00002,06/15/2024 16:00:00,19,36
